state,timestamp,leading_candidate_name,trailing_candidate_name,leading_candidate_votes,trailing_candidate_votes,vote_differential,votes_remaining,new_votes,new_votes_relevant,new_votes_formatted,leading_candidate_partition,trailing_candidate_partition,precincts_reporting,precincts_total,hurdle,hurdle_change,hurdle_mov_avg,counties_partition,total_votes_count,dd,tt,state_clean,trump_win_rate_list,ddtt,idx
Michigan (EV: 16),23:44.0,Biden,Trump,2504453,2492228,12225,458332,25796,25463,"25,463",0.657345953,0.342654047,4410,4974,0.513545256,0.009127042,0.349766667,{'Oakland': 25796},5080970,20201104,1423,Michigan,0.498776688,202011041423,MI
Pennsylvania (EV: 20),23:44.0,Trump,Biden,2970396,2354317,616079,1527993,4580,4545,"4,545",0.196259626,0.803740374,6905,9128,0.704164348,-0.00030211,0.803740374,{'Lehigh': 4580},5397262,20201104,1423,Pennsylvania,0.557850911,202011041423,PA
Massachusetts (EV: 11),32:18.8,Biden,Trump,1614679,747301,867378,1215190,5589,5449,"5,449",0.635712975,0.364287025,1442,2174,0.865134706,0.002291424,0.364287025,{'Norfolk': 5589},2416212,20201104,1432,Massachusetts,0.316387522,202011041432,MA
Maine (EV: 4),32:18.8,Biden,Trump,340998,264158,76840,194773,669,653,653,0.361408882,0.638591118,309,552,0.703117831,0.000218459,0.57739089,"{'Aroostook': 531, 'Hancock': 138}",624688,20201104,1432,Maine,0.436512238,202011041432,ME
Michigan (EV: 16),32:18.8,Biden,Trump,2511297,2499351,11946,444126,14206,13967,"13,967",0.490012172,0.509987828,4434,4974,0.513659501,0.000114245,0.420566667,{'Lenawee': 14259},5095176,20201104,1432,Michigan,0.498807939,202011041432,MI
Pennsylvania (EV: 20),32:18.8,Trump,Biden,2976682,2387300,589382,1488432,39561,39269,"39,269",0.160075378,0.839924622,6938,9128,0.700508475,-0.003655872,0.839924622,{'Montgomery': 39561},5436823,20201104,1432,Pennsylvania,0.55493885,202011041432,PA
Arkansas (EV: 6),40:19.2,Trump,Biden,749810,414335,335475,20993,21,21,21,0.428571429,0.571428571,2352,2579,8.722803621,0.008143866,0.571428571,{'Desha': 21},1198076,20201104,1440,Arkansas,0.644086433,202011041440,AR
Arizona (EV: 11),47:51.9,Biden,Trump,1410977,1317468,93509,619400,126904,124688,"124,688",0.351004106,0.648995894,1294,1489,0.576694795,-0.012251361,0.648995894,{},2766463,20201104,1447,Arizona,0.482864049,202011041447,AZ
Michigan (EV: 16),47:51.9,Biden,Trump,2515781,2506388,9393,432412,11714,11521,"11,521",0.389202326,0.610797674,4445,4974,0.511031259,-0.002628241,0.523533333,{'Isabella': 11714},5106890,20201104,1447,Michigan,0.499064846,202011041447,MI
Oregon (EV: 7),47:51.9,Biden,Trump,1240379,863670,376709,205364,527,509,509,0.119842829,0.880157171,1259,1334,1.447292447,0.001454016,0.880157171,{'Lake': 527},2168957,20201104,1447,Oregon,0.410479984,202011041447,OR
Pennsylvania (EV: 20),56:08.7,Trump,Biden,2976718,2387351,589367,1488344,88,87,87,0.413793103,0.586206897,6938,9128,0.700515227,6.75E-06,0.8392,{'Dauphin': 88},5436911,20201104,1456,Pennsylvania,0.55493656,202011041456,PA
California (EV: 55),17:08.8,Biden,Trump,7729331,3899976,3829355,5645032,527,512,512,0.427734375,0.572265625,14901,20498,0.846713189,2.57E-05,0.563398693,{'San Joaquin': 527},11850874,20201104,1517,California,0.335357558,202011041517,CA
Idaho (EV: 4),17:08.8,Trump,Biden,528254,283102,245152,30835,17,0,0,0,0,937,962,4.602229486,0.002260401,,{'Bonner': 10},837318,20201104,1517,Idaho,0.651075484,202011041517,ID
Massachusetts (EV: 11),17:08.8,Biden,Trump,1616089,748123,867966,1212881,2309,2232,"2,232",0.63172043,0.36827957,1443,2174,0.866077822,0.000943116,0.365447207,"{'Essex': 54, 'Middlesex': 1, 'Worcester': 2254}",2418521,20201104,1517,Massachusetts,0.316436512,202011041517,MA
Maine (EV: 4),17:08.8,Biden,Trump,342584,265962,76622,191279,3494,3390,"3,390",0.467846608,0.532153392,312,552,0.7062413,0.00312347,0.557167348,"{'Aroostook': 806, 'Franklin': 2688}",628182,20201104,1517,Maine,0.437045022,202011041517,ME
Michigan (EV: 16),17:08.8,Biden,Trump,2516513,2506650,9863,431406,1006,994,994,0.736418511,0.263581489,4446,4974,0.511610245,0.000578985,0.5209,{'Oakland': 1006},5107896,20201104,1517,Michigan,0.499018248,202011041517,MI
Minnesota (EV: 10),17:08.8,Biden,Trump,1681770,1452519,229251,165227,2749,2690,"2,690",0.363568773,0.636431227,3761,4110,1.210222439,0.009386371,0.636431227,"{'Mower': 655, 'Pope': 2094}",3199488,20201104,1517,Minnesota,0.463428548,202011041517,MN
Mississippi (EV: 6),17:08.8,Trump,Biden,543906,323093,220813,447480,3494,3437,"3,437",0.265347687,0.734652313,1416,1766,0.750349994,0.000125037,0.734652313,{'Tunica': 3494},880433,20201104,1517,Mississippi,0.627343284,202011041517,MS
